run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	bam_ftp
ERR321191	PRJEB4336	SAMEA2155215	ERX294324	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321191/ERR321191_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321191/ERR321191_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321191/MetaHIT-MH0059_081230.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321191/MetaHIT-MH0059_081230.rmHuman.rmHost.2.fq.gz	
ERR321196	PRJEB4336	SAMEA2148063	ERX294329	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321196/ERR321196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321196/ERR321196_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321196/MetaHIT-MH0061_090126.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321196/MetaHIT-MH0061_090126.rmHuman.rmHost.2.fq.gz	
ERR321197	PRJEB4336	SAMEA2150866	ERX294330	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321197/ERR321197_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321197/ERR321197_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321197/MetaHIT-MH0062_081223.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321197/MetaHIT-MH0062_081223.rmHuman.rmHost.2.fq.gz	
ERR321203	PRJEB4336	SAMEA2150814	ERX294336	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321203/ERR321203_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321203/ERR321203_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321203/MetaHIT-MH0065_081223.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321203/MetaHIT-MH0065_081223.rmHuman.rmHost.2.fq.gz	
ERR321205	PRJEB4336	SAMEA2154930	ERX294338	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321205/ERR321205_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321205/ERR321205_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321205/MetaHIT-MH0066_081223.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321205/MetaHIT-MH0066_081223.rmHuman.rmHost.2.fq.gz	
ERR321207	PRJEB4336	SAMEA2162460	ERX294340	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321207/ERR321207_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321207/ERR321207_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321207/MetaHIT-MH0067_090103.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321207/MetaHIT-MH0067_090103.rmHuman.rmHost.2.fq.gz	
ERR321209	PRJEB4336	SAMEA2153740	ERX294342	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321209/ERR321209_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321209/ERR321209_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321209/MetaHIT-MH0068_081223.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321209/MetaHIT-MH0068_081223.rmHuman.rmHost.2.fq.gz	
ERR321210	PRJEB4336	SAMEA2153740	ERX294343	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321210/ERR321210_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321210/ERR321210_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321210/MetaHIT-MH0068_090126.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321210/MetaHIT-MH0068_090126.rmHuman.rmHost.2.fq.gz	
ERR321212	PRJEB4336	SAMEA2143745	ERX294345	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321212/ERR321212_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321212/ERR321212_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321212/MetaHIT-MH0069_090103.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321212/MetaHIT-MH0069_090103.rmHuman.rmHost.2.fq.gz	
ERR321214	PRJEB4336	SAMEA2160621	ERX294347	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321214/ERR321214_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321214/ERR321214_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321214/MetaHIT-MH0070_090104.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321214/MetaHIT-MH0070_090104.rmHuman.rmHost.2.fq.gz	
