taxon	stderr	estimate
Bacteroides congonensis	0.103842850891002	0.0788336411668075
Bacteroides cutis	0.252779034021277	-0.323009558224459
Bacteroides eggerthii	0.08354499893852	0.0670877962014322
Bacteroides faecis	0.0633270711811743	0.0437626709610517
Bacteroides finegoldii	0.152694751665519	0.147160341676457
Bacteroides fluxus	0.0592255848191867	0.0813519168242352
Bacteroides fragilis	0.140745382604466	0.0795593311688736
Bacteroides fragilis_A	0.28943712540379	-0.262660735346528
Bacteroides gallinarum	0.126253032468675	-0.0469219518206205
Bacteroides graminisolvens	0.0703309613370459	0.0170768814510474
Bacteroides intestinalis	0.0852841495955172	-0.113807536177944
Bacteroides massiliensis_A	0.0574504319864834	0.0114603015629786
Bacteroides ndongoniae	0.0561543066259098	0.0102101121701476
Bacteroides neonati	0.168468386721796	-0.0417791561091688
Bacteroides nordii	0.0703869925806306	0.067280294916731
Bacteroides oleiciplenus	0.0578057645998838	0.00497837348101621
Bacteroides ovatus	0.130519835344676	0.110826629604836
Bacteroides pyogenes	0.183089557586313	-0.142257471984538
Bacteroides salyersiae	0.064604986096304	-0.0682842020637958
Bacteroides sp002491635	0.069540216755218	0.0795778757877212
Bacteroides sp003545565	0.264076212503001	-0.299593204095908
Bacteroides sp007896885	0.0574704039015109	0.0232744836973048
Bacteroides sp014385165	0.147769174279068	-0.0991127980058511
Bacteroides sp900547205	0.0921952874778905	0.0502703001856206
Bacteroides sp900553815	0.0781146791391447	0.0190994361482733
Bacteroides sp900555635	0.0792794876005261	0.0630856602175624
Bacteroides sp900556215	0.0844300833728412	0.0707380890237406
Bacteroides sp900761785	0.0544373878662485	0.0591928608852812
Bacteroides sp900765785	0.0773910979082227	0.0567202287700222
Bacteroides sp900766005	0.135285460268156	0.0700462191780839
Bacteroides sp900766195	0.195280164605721	-0.25528474451047
Bacteroides sp902362375	0.0658986421378853	0.0868640161033869
Bacteroides sp902388495	0.0660984983276321	0.0573692738934401
Bacteroides stercorirosoris	0.0622930549630848	0.00122413157962132
Bacteroides stercoris	0.167114988458362	0.0809063373380013
Bacteroides thetaiotaomicron	0.0678203110361634	-0.0124040555889451
Bacteroides togonis	0.100069294185486	-0.0142099586701963
Bacteroides uniformis	0.104177757353044	0.0398134906265919
Bacteroides xylanisolvens	0.0696724819868933	0.135611196102049
Bacteroides_F pectinophilus	0.138224000060553	-0.206940340697843
Bariatricus comes	0.156853200789359	0.105035588686133
Bariatricus massiliensis	0.0433104277127545	0.0433381365779174
Bariatricus sp900554415	0.196316767010143	-0.130280567818227
Barnesiella intestinihominis	0.475927322557085	0.449353556559917
Barnesiella sp002159975	0.290490397369651	0.118865238157546
Barnesiella sp003150885	0.062297484027225	-0.0864118926612185
Barnesiella sp900538555	0.184006994382334	-0.135022083835711
Barnesiella sp900538705	0.331179757219525	-0.31322234292117
Barnesiella sp900542255	0.103999566816571	-0.0766497786374709
Beduini sp900550005	0.0658457343518127	0.0698717445215173
Bifidobacterium adolescentis	0.74956258145447	0.695441049724172
Bifidobacterium angulatum	0.344438643395996	0.473031809587112
Bifidobacterium animalis	0.183818811936099	0.406337332768911
Bifidobacterium bifidum	0.139406649769938	0.226693457039898
Bifidobacterium breve	0.0665478036150988	0.0803114259748753
Bifidobacterium catenulatum	0.0696391278745609	0.0728544344744437
Bifidobacterium dentium	0.19621411467723	0.273638554117289
Bifidobacterium gallicum	0.115404452700233	0.265941815778524
Bifidobacterium gallinarum	0.198191677216663	0.276776422068074
Bifidobacterium globosum	0.149956422304819	0.220535847494972
Bifidobacterium infantis	0.07494465710538	-0.0321248297326433
Bifidobacterium italicum	0.228500195801192	-0.161410213828865
Bifidobacterium pseudocatenulatum	0.182391793128976	0.0460391185180447
Bifidobacterium pullorum	0.138890044234366	0.217896118971066
Bifidobacterium ruminantium	0.493857182528702	0.480962326879645
Bifidobacterium scardovii	0.0796501940918806	0.127335139963589
